"well_name","API_WellNo","BH_FtNS","BH_Lat","BH_Long"
"1Q-09","50029212090000",1294,70.368913,-149.769277
"1Q-12","50029212100000",1234,70.369077,-149.792843
"2W-06","50029212110000",1044,70.346467,-149.855883
"2E-13","50029212130000",1358,70.260765,-149.793321
"2E-14","50029212140000",1062,70.268575,-149.793338
"1Q-10","50029212150000",959,70.360652,-149.769098
"1Q-11","50029212160000",983,70.360718,-149.792454
"2C-16","50029212180000",1383,70.310905,-149.857736
"2C-15","50029212190000",1575,70.304577,-149.857655
"2W-07","50029212200000",1322,70.354425,-149.85555
"2C-12","50029212220000",1096,70.288874,-149.812361
"2C-13","50029212230000",1052,70.288754,-149.858771
"1Q-06","50029212240000",2286,70.366206,-149.727142
"1Q-08","50029212250000",1248,70.369039,-149.747601
"2C-14","50029212260000",1394,70.296483,-149.854261
"2E-12","50029212270000",1046,70.268619,-149.74894
"2W-08","50029212280000",1263,70.354586,-149.880773
"2C-10","50029212300000",1520,70.304427,-149.809936
"2C-11","50029212310000",1368,70.296554,-149.811722
"1Q-05","50029212330000",1024,70.36083,-149.726128
"1Q-07","50029212340000",1038,70.360868,-149.746513
"2W-09","50029212350000",1389,70.361826,-149.878241
"2C-09","50029212370000",1007,70.311929,-149.81089
"2W-11","50029212380000",1473,70.362055,-149.853732
"2W-10","50029212390000",1059,70.369554,-149.879125
"2W-12","50029212400000",1240,70.369061,-149.855583
"2E-11","50029212420000",1134,70.268379,-149.726709
"2E-10","50029212460000",1356,70.260759,-149.748253
"1Q-01","50029212470000",980,70.384171,-149.747576
"1Q-02","50029212480000",1336,70.376088,-149.740524
"1Q-03","50029212490000",832,70.384574,-149.72375
"1Q-04","50029212500000",1636,70.376906,-149.724415
"26","50029212510000",1285,70.152456,-149.521554
"2W-13","50029212520000",1100,70.369443,-149.811906
"2W-14","50029212530000",1011,70.369685,-149.833063
"2W-15","50029212540000",1622,70.362462,-149.809934
"2W-16","50029212550000",1453,70.362001,-149.831626
"2E-09","50029212560000",1416,70.25302,-149.791856
"2U-13","50029212610000",1079,70.355089,-149.89745
"2U-14","50029212620000",1106,70.355015,-149.920432
"2U-15","50029212630000",1364,70.347341,-149.897328
"2U-16","50029212640000",1269,70.347082,-149.919596
"2U-01","50029212670000",1323,70.339821,-149.898296
"2U-02","50029212680000",955,70.331651,-149.897196
"2U-03","50029212690000",1428,70.339536,-149.918846
"2U-04","50029212700000",1014,70.331812,-149.920018
"2W-01","50029212730000",1100,70.355031,-149.809407
"2W-03","50029212740000",1071,70.346541,-149.812531
"2W-04","50029212750000",916,70.346117,-149.832373
"2W-02","50029212790000",605,70.356383,-149.83075
"2U-05","50029212810000",1180,70.332264,-149.960892
"2U-06","50029212820000",1132,70.332133,-149.939695
"2U-07","50029212830000",1423,70.339549,-149.958402
"2U-08","50029212840000",1360,70.339721,-149.93976
"3B-13","50029212860000",994,70.375155,-149.856062
"3B-14","50029212870000",1266,70.383391,-149.854682
"3B-15","50029212880000",1191,70.375693,-149.874995
"3B-16","50029212890000",1702,70.382202,-149.877518
"2V-13","50029212930000",942,70.302851,-149.940665
"2V-14","50029212940000",1568,70.3104,-149.940237
"2V-15","50029212950000",1344,70.318334,-149.941893
"2V-16","50029212960000",1187,70.32582,-149.941821
"2V-09","50029213000000",1057,70.326174,-149.895928
"2U-09","50029213010000",1368,70.347352,-149.965845
"2U-10","50029213020000",1209,70.346918,-149.942343
"2U-11","50029213030000",1006,70.355288,-149.958173
"2U-12","50029213040000",1017,70.355258,-149.939673
"1Q-13","50029213060000",1557,70.376691,-149.793184
"1Q-14","50029213070000",1003,70.384108,-149.792267
"1Q-15","50029213080000",957,70.384234,-149.76431
"1Q-16","50029213090000",1069,70.37536,-149.769236
"2V-10","50029213100000",1460,70.31865,-149.896138
"2V-11","50029213110000",1452,70.310717,-149.897051
"2V-12","50029213120000",1073,70.303208,-149.89857
"3B-01","50029213180000",1280,70.390332,-149.878939
"3B-02","50029213190000",1005,70.398494,-149.878054
"3B-03","50029213220000",1358,70.390544,-149.855631
"3B-04","50029213230000",816,70.399009,-149.857165
"1R-05","50029213300000",533,70.373898,-149.689322
"1R-06","50029213310000",4376,70.37491,-149.708596
"1R-07","50029213320000",1408,70.383004,-149.686206
"1R-08","50029213330000",1558,70.382595,-149.709075
"3B-05","50029213350000",839,70.398946,-149.8326
"3B-06","50029213360000",1095,70.398248,-149.812328
"3B-07","50029213370000",1437,70.39076,-149.831708
"3B-08","50029213430000",1289,70.390356,-149.808344
"1R-09","50029213500000",1408,70.390681,-149.708231
"1R-10","50029213510000",4122,70.398077,-149.707444
"1R-11","50029213520000",1460,70.390822,-149.686717
"1R-12","50029213530000",1223,70.3979,-149.689485
"3C-12","50029213540000",1343,70.397573,-149.744663
